"match_id","team1","team2","score1","score2","penalty1","penalty2"
"M001","Mexico","South Africa","2","0","",""
"M002","South Korea","Czech","2","1","",""
"M003","Canada","Bosnia & Herzegovina","1","1","",""
"M004","USA","Paraguay","","","",""
"M005","Haiti","Scotland","","","",""
"M006","Australia","Türkiye","","","",""
"M007","Brazil","Morocco","","","",""
"M008","Qatar","Switzerland","","","",""
"M009","Ivory Coast","Ecuador","","","",""
"M010","Germany","Curaçao","","","",""
"M011","Netherlands","Japan","","","",""
"M012","Sweden","Tunisia","","","",""
"M013","Saudi Arabia","Uruguay","","","",""
"M014","Spain","Cape Verde","","","",""
"M015","Iran","New Zealand","","","",""
"M016","Belgium","Egypt","","","",""
"M017","France","Senegal","","","",""
"M018","Iraq","Norway","","","",""
"M019","Argentina","Algeria","","","",""
"M020","Austria","Jordan","","","",""
"M021","Ghana","Panama","","","",""
"M022","England","Croatia","","","",""
"M023","Portugal","DR Congo","","","",""
"M024","Uzbekistan","Colombia","","","",""
"M025","Czech","South Africa","","","",""
"M026","Switzerland","Bosnia & Herzegovina","","","",""
"M027","Canada","Qatar","","","",""
"M028","Mexico","South Korea","","","",""
"M029","Brazil","Haiti","","","",""
"M030","Scotland","Morocco","","","",""
"M031","Türkiye","Paraguay","","","",""
"M032","USA","Australia","","","",""
"M033","Germany","Ivory Coast","","","",""
"M034","Ecuador","Curaçao","","","",""
"M035","Netherlands","Sweden","","","",""
"M036","Tunisia","Japan","","","",""
"M037","Uruguay","Cape Verde","","","",""
"M038","Spain","Saudi Arabia","","","",""
"M039","Belgium","Iran","","","",""
"M040","New Zealand","Egypt","","","",""
"M041","Norway","Senegal","","","",""
"M042","France","Iraq","","","",""
"M043","Argentina","Austria","","","",""
"M044","Jordan","Algeria","","","",""
"M045","England","Ghana","","","",""
"M046","Panama","Croatia","","","",""
"M047","Portugal","Uzbekistan","","","",""
"M048","Colombia","DR Congo","","","",""
"M049","Scotland","Brazil","","","",""
"M050","Morocco","Haiti","","","",""
"M051","Switzerland","Canada","","","",""
"M052","Bosnia & Herzegovina","Qatar","","","",""
"M053","Czech","Mexico","","","",""
"M054","South Africa","South Korea","","","",""
"M055","Curaçao","Ivory Coast","","","",""
"M056","Ecuador","Germany","","","",""
"M057","Japan","Sweden","","","",""
"M058","Tunisia","Netherlands","","","",""
"M059","Türkiye","USA","","","",""
"M060","Paraguay","Australia","","","",""
"M061","Norway","France","","","",""
"M062","Senegal","Iraq","","","",""
"M063","Egypt","Iran","","","",""
"M064","New Zealand","Belgium","","","",""
"M065","Cape Verde","Saudi Arabia","","","",""
"M066","Uruguay","Spain","","","",""
"M067","Panama","England","","","",""
"M068","Croatia","Ghana","","","",""
"M069","Algeria","Austria","","","",""
"M070","Jordan","Argentina","","","",""
"M071","Colombia","Portugal","","","",""
"M072","DR Congo","Uzbekistan","","","",""
"M073","Runner-up Group A","Runner-up Group B","","","",""
"M074","Winner Group E","Best 3rd from Groups A/B/C/D/F","","","",""
"M075","Winner Group F","Runner-up Group C","","","",""
"M076","Winner Group C","Runner-up Group F","","","",""
"M077","Winner Group I","Best 3rd from Groups C/D/F/G/H","","","",""
"M078","Runner-up Group E","Runner-up Group I","","","",""
"M079","Winner Group A","Best 3rd from Groups C/E/F/H/I","","","",""
"M080","Winner Group L","Best 3rd from Groups E/H/I/J/K","","","",""
"M081","Winner Group D","Best 3rd from Groups B/E/F/I/J","","","",""
"M082","Winner Group G","Best 3rd from Groups A/E/H/I/J","","","",""
"M083","Runner-up Group K","Runner-up Group L","","","",""
"M084","Winner Group H","Runner-up Group J","","","",""
"M085","Winner Group B","Best 3rd from Groups E/F/G/I/J","","","",""
"M086","Winner Group J","Runner-up Group H","","","",""
"M087","Winner Group K","Best 3rd from Groups D/E/I/J/L","","","",""
"M088","Runner-up Group D","Runner-up Group G","","","",""
"M089","Winner M074","Winner M077","","","",""
"M090","Winner M073","Winner M075","","","",""
"M091","Winner M076","Winner M078","","","",""
"M092","Winner M079","Winner M080","","","",""
"M093","Winner M083","Winner M084","","","",""
"M094","Winner M081","Winner M082","","","",""
"M095","Winner M086","Winner M088","","","",""
"M096","Winner M085","Winner M087","","","",""
"M097","Winner M089","Winner M090","","","",""
"M098","Winner M093","Winner M094","","","",""
"M099","Winner M091","Winner M092","","","",""
"M100","Winner M095","Winner M096","","","",""
"M101","Winner M097","Winner M098","","","",""
"M102","Winner M099","Winner M100","","","",""
"M103","Loser M101","Loser M102","","","",""
"M104","Winner M101","Winner M102","","","",""
